valor;bairro;obs;tipo;dormitorios;banheiros;vagasGaragem;metragem;codigo;bomInvestimento
250000.00;Independência;;Casa em Santa Cruz do Sul;3;;;110;CA0152-CA1Q;0
252000.00;São João;;Casa em Santa Cruz do Sul;3;;;164;CA0105-CA1Q;0
259000.00;Arroio Grande;;Casa em Santa Cruz do Sul;3;1;;112;CA0103-CA1Q;0
260000.00;Independência;;Casa em Santa Cruz do Sul;3;;1;160;CA0028-CA1Q;0
260000.00;São João;IPTU 700/mês;Casa em Santa Cruz do Sul;3;;;128.90;CA0212-CA1Q;0
260000.00;Centro;;Casa em Santa Cruz do Sul;2;1;;101;CA0317-CA1Q;0
260000.00;Independência;;Casa em Santa Cruz do Sul;3;1;1;80;CA0202-CA1Q;0
260000.00;Arroio Grande;;Casa em Santa Cruz do Sul;3;;;102;CA0073-CA1Q;0
260000.00;Arroio Grande;;Casa em Santa Cruz do Sul;3;;1;182;CA0354-CA1Q;1
265000.00;Belvedere;;Casa em Santa Cruz do Sul;3;;;110;CA0006-CA1Q;0
265000.00;Goiás;;Casa em Santa Cruz do Sul;4;;1;100;CA0184-CA1Q;0
270000.00;Esmeralda;;Casa em Santa Cruz do Sul;3;;1;160;CA0069-CA1Q;0
270000.00;Universitário;Condomínio 270.000;Casa em Santa Cruz do Sul;3;1;1;75;CA0242-CA1Q;0
270000.00;Monte Verde;IPTU 600/mês;Casa em Santa Cruz do Sul;2;;;113;CA0324-CA1Q;0
275000.00;Linha Santa Cruz;;Casa em Santa Cruz do Sul;2;1;1;105;CA0239-CA1Q;0
280000.00;Centro;IPTU 250/mês;Casa em Santa Cruz do Sul;3;;;230;CA0303-CA1Q;0
280000.00;Faxinal Velho;;Casa em Santa Cruz do Sul;3;;;230;CA0250-CA1Q;0
280000.00;Bonfim;;Casa em Santa Cruz do Sul;2;;;96;CA0159-CA1Q;0
280000.00;Arroio Grande;;Casa em Santa Cruz do Sul;4;;;156;CA0321-CA1Q;0
285000.00;Renascença;;Casa em Santa Cruz do Sul;2;1;;110;CA0180-CA1Q;0
286000.00;Santo Inácio;;Casa em Santa Cruz do Sul;2;1;1;280;CA0141-CA1Q;1
286200.00;Esmeralda;;Casa em Santa Cruz do Sul;5;;;222.84;CA0255-CA1Q;0
287910.00;Vila Margarida;;Casa em Santa Cruz do Sul;2;;;90;CA0011-CA1Q;0
290000.00;Goiás;;Casa em Santa Cruz do Sul;4;;1;113.94;CA0204-CA1Q;0
290000.00;João Alves;;Casa em Santa Cruz do Sul;2;;1;94;CA0316-CA1Q;0
292000.00;Jardim Europa;;Casa em Santa Cruz do Sul;3;1;1;117.02;CA0294-CA1Q;0
294000.00;Margarida;;Casa em Santa Cruz do Sul;2;1;1;90;CA0358-CA1Q;0
295000.00;Universitário;;Casa em Santa Cruz do Sul;3;1;1;160;CA0369-CA1Q;1
295000.00;Santo Inácio;;Casa em Santa Cruz do Sul;2;;1;93.05;CA0266-CA1Q;0
296000.00;Santo Inácio;;Casa em Santa Cruz do Sul;2;1;1;80;CA0120-CA1Q;0
296800.00;Germânia;;Casa em Santa Cruz do Sul;2;;1;110;CA0178-CA1Q;0
298000.00;Santo Inácio;;Casa em Santa Cruz do Sul;3;1;1;120.66;CA0371-CA1Q;0
300000.00;São João;IPTU 384/ano;Casa em Santa Cruz do Sul;2;1;1;120;CA0356-CA1Q;0
300000.00;Centro;;Casa em Santa Cruz do Sul;2;;;80.22;CA0216-CA1Q;0
310000.00;Santo Inácio;;Casa em Santa Cruz do Sul;3;;;97.50;CA0113-CA1Q;0
310000.00;Avenida;;Casa em Santa Cruz do Sul;5;;;280;CA0018-CA1Q;0
316375.00;Castelo Branco;;Casa em Santa Cruz do Sul;3;;1;103.24;CA0200-CA1Q;0
318000.00;Renascença;;Casa em Santa Cruz do Sul;3;;1;263.65;CA0132-CA1Q;0
320000.00;Centro;;Casa em Santa Cruz do Sul;3;;1;200;CA0185-CA1Q;1
320000.00;Renascença;IPTU 700/ano;Casa em Santa Cruz do Sul;3;;;135;CA0375-CA1Q;0
325000.00;Renascença;;Casa em Santa Cruz do Sul;3;1;1;94.68;CA0370-CA1Q;0
330000.00;Monte Verde;IPTU 700/mês;Casa em Santa Cruz do Sul;4;;;177;CA0376-CA1Q;0
330000.00;Bom Jesus;;Casa em Santa Cruz do Sul;3;1;;180.61;CA0158-CA1Q;0
330000.00;Jardim Europa;;Casa em Santa Cruz do Sul;2;;;78.48;CA0278-CA1Q;0
330000.00;Arroio Grande;;Casa em Santa Cruz do Sul;3;;;160;CA0161-CA1Q;1
330000.00;Arroio Grande;;Casa em Santa Cruz do Sul;3;1;1;138.50;CA0065-CA1Q;0
340000.00;Santo Antônio;;Casa em Santa Cruz do Sul;3;;1;137;CA0256-CA1Q;0
340000.00;Monte Verde;;Casa em Santa Cruz do Sul;3;;;203;CA0246-CA1Q;0
349000.00;Country;;Casa em Santa Cruz do Sul;2;;;150;CA0360-CA1Q;0
350000.00;Arroio Grande;;Casa em Santa Cruz do Sul;3;;;170;CA0295-CA1Q;0
350000.00;João Alves;;Casa em Santa Cruz do Sul;3;;;150;CA0318-CA1Q;0
350000.00;Renascença;;Casa em Santa Cruz do Sul;3;;1;129;CA0143-CA1Q;0
350000.00;São João;;Casa em Santa Cruz do Sul;3;;;130;CA0235-CA1Q;0
360000.00;Monte Verde;;Casa em Santa Cruz do Sul;3;;;153;CA0236-CA1Q;0
360000.00;Universitário;;Casa em Santa Cruz do Sul;4;;;130;CA0121-CA1Q;0
390000.00;Santo Inácio;;Casa em Santa Cruz do Sul;3;;1;113.74;CA0177-CA1Q;0
