valor;bairro;obs;tipo;dormitorios;banheiros;vagasGaragem;metragem;codigo
259000;Arroio Grande;;Casa em Santa Cruz do Sul;3;1;;112;CA0103-CA1Q
260000;Independência;;Casa em Santa Cruz do Sul;3;;1;160;CA0028-CA1Q
260000;São João;IPTU R$ 700/mês;Casa em Santa Cruz do Sul;3;;;128,90;CA0212-CA1Q
260000;Centro;;Casa em Santa Cruz do Sul;2;1;;101;CA0317-CA1Q
260000;Independência;;Casa em Santa Cruz do Sul;3;1;1;80;CA0202-CA1Q
260000;Arroio Grande;;Casa em Santa Cruz do Sul;3;;;102;CA0073-CA1Q
260000;Arroio Grande;;Casa em Santa Cruz do Sul;3;;1;132;CA0354-CA1Q
265000;Belvedere;;Casa em Santa Cruz do Sul;3;;;110;CA0006-CA1Q
265000;Goiás;;Casa em Santa Cruz do Sul;4;;1;100;CA0184-CA1Q
270000;Esmeralda;;Casa em Santa Cruz do Sul;3;;1;160;CA0069-CA1Q
270000;Universitário;Condomínio R$ 270.000;Casa em Santa Cruz do Sul;3;1;1;75;CA0242-CA1Q
270000;Monte Verde;IPTU R$ 600/mês;Casa em Santa Cruz do Sul;2;;;113;CA0324-CA1Q
275000;Linha Santa Cruz;;Casa em Santa Cruz do Sul;2;1;1;105;CA0239-CA1Q
280000;Centro;IPTU R$ 250/mês;Casa em Santa Cruz do Sul;3;;;230;CA0303-CA1Q
280000;Faxinal Velho;;Casa em Santa Cruz do Sul;3;;;230;CA0250-CA1Q
280000;Bonfim;;Casa em Santa Cruz do Sul;2;;;96;CA0159-CA1Q
280000;Arroio Grande;;Casa em Santa Cruz do Sul;4;;;156;CA0321-CA1Q
285000;Renascença;;Casa em Santa Cruz do Sul;2;1;;110;CA0180-CA1Q
286000;Santo Inácio;;Casa em Santa Cruz do Sul;2;1;1;140;CA0141-CA1Q
286200;Esmeralda;;Casa em Santa Cruz do Sul;5;;;222,84;CA0255-CA1Q
287910;Vila Margarida;;Casa em Santa Cruz do Sul;2;;;90;CA0011-CA1Q
290000;Goiás;;Casa em Santa Cruz do Sul;4;;1;113,94;CA0204-CA1Q
290000;João Alves;;Casa em Santa Cruz do Sul;2;;1;94;CA0316-CA1Q
292000;Jardim Europa;;Casa em Santa Cruz do Sul;3;1;1;117,02;CA0294-CA1Q
294000;Margarida;;Casa em Santa Cruz do Sul;2;1;1;90;CA0358-CA1Q
295000;Universitário;;Casa em Santa Cruz do Sul;3;1;1;91,96;CA0369-CA1Q
295000;Santo Inácio;;Casa em Santa Cruz do Sul;2;;1;93,05;CA0266-CA1Q
296000;Santo Inácio;;Casa em Santa Cruz do Sul;2;1;1;80;CA0120-CA1Q
296800;Germânia;;Casa em Santa Cruz do Sul;2;;1;110;CA0178-CA1Q
298000;Santo Inácio;;Casa em Santa Cruz do Sul;3;1;1;120,66;CA0371-CA1Q
300000;Centro;;Casa em Santa Cruz do Sul;2;;;80,22;CA0216-CA1Q
300000;São João;IPTU R$ 384/ano;Casa em Santa Cruz do Sul;2;1;1;120;CA0356-CA1Q
310000;Santo Inácio;;Casa em Santa Cruz do Sul;3;;;97,50;CA0113-CA1Q
310000;Avenida;;Casa em Santa Cruz do Sul;5;;;280;CA0018-CA1Q
316375;Castelo Branco;;Casa em Santa Cruz do Sul;3;;1;103,24;CA0200-CA1Q
318000;Renascença;;Casa em Santa Cruz do Sul;3;;1;263,65;CA0132-CA1Q
320000;Centro;;Casa em Santa Cruz do Sul;3;;1;100;CA0185-CA1Q
320000;Renascença;IPTU R$ 700/ano;Casa em Santa Cruz do Sul;3;;;135;CA0375-CA1Q
325000;Renascença;;Casa em Santa Cruz do Sul;3;1;1;94,68;CA0370-CA1Q
330000;Monte Verde;IPTU R$ 700/mês;Casa em Santa Cruz do Sul;4;;;177;CA0376-CA1Q
330000;Bom Jesus;;Casa em Santa Cruz do Sul;3;1;;180,61;CA0158-CA1Q
330000;Jardim Europa;;Casa em Santa Cruz do Sul;2;;;78,48;CA0278-CA1Q
330000;Arroio Grande;;Casa em Santa Cruz do Sul;3;;;160;CA0161-CA1Q
330000;Arroio Grande;;Casa em Santa Cruz do Sul;3;1;1;138,50;CA0065-CA1Q
340000;Santo Antônio;;Casa em Santa Cruz do Sul;3;;1;137;CA0256-CA1Q
340000;Monte Verde;;Casa em Santa Cruz do Sul;3;;;203;CA0246-CA1Q
349000;Country;;Casa em Santa Cruz do Sul;2;;;150;CA0360-CA1Q
350000;Arroio Grande;;Casa em Santa Cruz do Sul;3;;;170;CA0295-CA1Q
350000;João Alves;;Casa em Santa Cruz do Sul;3;;;150;CA0318-CA1Q
350000;Renascença;;Casa em Santa Cruz do Sul;3;;1;129;CA0143-CA1Q
350000;São João;;Casa em Santa Cruz do Sul;3;;;130;CA0235-CA1Q
360000;Monte Verde;;Casa em Santa Cruz do Sul;3;;;153;CA0236-CA1Q
360000;Universitário;;Casa em Santa Cruz do Sul;4;;;130;CA0121-CA1Q
390000;Santo Inácio;;Casa em Santa Cruz do Sul;3;;1;113,74;CA0177-CA1Q
390000;Margarida;;Casa em Santa Cruz do Sul;3;;1;190;CA0187-CA1Q
390000;Santo Antônio;;Casa em Santa Cruz do Sul;3;;;202,35;CA0095-CA1Q
400000;Monte Verde;IPTU R$ 550/ano;Casa em Santa Cruz do Sul;3;;;150;CA0355-CA1Q
413400;Santo Inácio;;Casa em Santa Cruz do Sul;3;;1;118,69;CA0079-CA1Q
415000;Bonfim;;Casa em Santa Cruz do Sul;3;;1;200;CA0329-CA1Q
425000;Goiás;;Casa em Santa Cruz do Sul;3;1;;120;CA0241-CA1Q
426000;Bom Jesus;;Casa em Santa Cruz do Sul;4;;;320;CA0199-CA1Q
430000;Margarida;;Casa em Santa Cruz do Sul;3;;;172;CA0179-CA1Q
450000;Renascença;;Casa em Santa Cruz do Sul;3;1;1;111,20;CA0183-CA1Q
450000;Santo Inácio;;Casa em Santa Cruz do Sul;3;;;123;CA0107-CA1Q
450000;Aliança;;Casa em Santa Cruz do Sul;3;;1;230;CA0023-CA1Q
460000;Bonfim;;Casa em Santa Cruz do Sul;3;;1;190;CA0365-CA1Q
480000;Schulz;;Casa em Santa Cruz do Sul;3;;;243,95;CA0310-CA1Q
480000;Universitário;;Casa em Santa Cruz do Sul;3;;;188;CA0252-CA1Q
480000;Margarida;;Casa em Santa Cruz do Sul;2;;;162;CA0140-CA1Q
499000;Linha Santa Cruz;;Casa em Santa Cruz do Sul;3;;1;175;CA0075-CA1Q
500000;João Alves;;Casa em Santa Cruz do Sul;3;;;245;CA0367-CA1Q
520000;João Alves;;Casa em Santa Cruz do Sul;3;;;162,80;CA0170-CA1Q
530000;Centro;;Casa em Santa Cruz do Sul;3;;;215;CA0019-CA1Q
530000;Goiás;;Casa em Santa Cruz do Sul;3;1;;133,68;CA0137-CA1Q
535000;Universitário;;Casa em Santa Cruz do Sul;10;;;180;CA0074-CA1Q
540000;Goiás;;Casa em Santa Cruz do Sul;3;;;225;CA0265-CA1Q
545000;Arroio Grande;;Casa em Santa Cruz do Sul;3;;;302;CA0264-CA1Q
550000;Centro;;Casa em Santa Cruz do Sul;3;;;210;CA0009-CA1Q
550000;Universitário;;Casa em Santa Cruz do Sul;4;;;230;CA0110-CA1Q
550000;Santo Inácio;;Casa em Santa Cruz do Sul;3;;;210,83;CA0130-CA1Q
550000;Margarida;;Casa em Santa Cruz do Sul;4;;;194;CA0338-CA1Q
550000;Ana Nery;;Casa em Santa Cruz do Sul;3;;;250;CA0311-CA1Q
572000;Country;;Casa em Santa Cruz do Sul;3;;;136;CA0291-CA1Q
580000;Senai;IPTU R$ 1.394/mês;Casa em Santa Cruz do Sul;2;;;350,65;CA0210-CA1Q
580000;Arroio Grande;;Casa em Santa Cruz do Sul;3;;;238,30;CA0153-CA1Q
580000;Country;;Casa em Santa Cruz do Sul;3;;;146,76;CA0238-CA1Q
583000;Arroio Grande;;Casa em Santa Cruz do Sul;4;;;230;CA0188-CA1Q
590000;Santo Inácio;IPTU R$ 1.000/ano;Casa em Santa Cruz do Sul;3;;1;200;CA0359-CA1Q
590000;Country;;Casa em Santa Cruz do Sul;3;;;185;CA0297-CA1Q
595000;Centro;;Casa em Santa Cruz do Sul;3;;;180;CA0175-CA1Q
614800;Avenida;;Casa em Santa Cruz do Sul;3;;;195;CA0164-CA1Q
640000;Country;;Casa em Santa Cruz do Sul;3;;;198;CA0016-CA1Q
643159;Jardim Europa;;Casa em Santa Cruz do Sul;3;;;204,18;CA0150-CA1Q
650000;Centro;;Casa em Santa Cruz do Sul;3;1;;420;CA0131-CA1Q
670000;Avenida;;Casa em Santa Cruz do Sul;3;;;161;CA0305-CA1Q
680000;Country;;Casa em Santa Cruz do Sul;3;;;230;CA0208-CA1Q
689000;Country;;Casa em Santa Cruz do Sul;3;;;182;CA0207-CA1Q
740000;Santo Antônio;;Casa em Santa Cruz do Sul;2;;;190;CA0315-CA1Q
780000;Universitário;;Casa em Santa Cruz do Sul;3;;;198;CA0244-CA1Q
795000;Jardim Europa;;Casa em Santa Cruz do Sul;3;;;274;CA0343-CA1Q
